1.066706	2.544672	1
2.782431	3.392895	2
4.613824	6.021104	3
7.113514	8.328016	4
9.536092	10.075871	5
10.705613	11.123299	6
11.502429	16.167660	7
16.424698	18.667350	8
19.117166	19.689075	9
20.260983	21.661838	10
21.957431	22.844210	11
22.914895	24.868381	12
25.234659	25.806568	13
25.877253	26.744755	14
27.046774	28.023516	15
28.267702	29.719964	16
30.015557	30.928040	17
31.949765	32.669470	18
34.218121	35.818179	19
36.621422	39.493816	20
39.545223	42.950971	21
43.163027	44.827345	22
45.052252	45.309290	23
45.379975	47.288479	24
47.481257	48.380888	25
